SAMPLE ID	FS	PFS
102C	0.0236543307086614	0.0100481717687075
103C	0.0317685039370079	0.0151347448979592
106C	0.0507031496062992	0.0234914030612245
109C	0.051825	0.0238301530612245
112C	0.0414742125984252	0.0182984353741497
113C	0.0386513779527559	0.0187127976190476
117C	0.0073255905511811	0.00301289115646259
121C	0.0257895669291339	0.0120882227891156
122C	0.0667214566929134	0.0317490221088435
127C	0.0789155511811024	0.0390554081632653
128C	0.0736903543307087	0.0351300680272109
12C	0.0680179133858268	0.0325531547619048
13	0.0543909448818898	0.0255806802721088
130C	0.0213198818897638	0.0109128741496599
131C	0.040292125984252	0.0191734013605442
133C	0.0176856299212598	0.0079781462585034
136C	0.0628173228346457	0.0287492857142857
139C	0.0143521653543307	0.00727929421768707
141C	0.00531830708661417	0.00237682823129252
142C	0.0289702755905512	0.0142108673469388
143C	0.037059842519685	0.0156701700680272
147C	0.0452163385826772	0.0209248639455782
148C	0.0400714566929134	0.018819387755102
150C	0.0661139763779528	0.0298431717687075
15514	0.0356120078740157	0.0167537670068027
15518	0.0546157480314961	0.0236984353741497
15529	0.0575582677165354	0.026228537414966
15530	0.0827515748031496	0.0396026700680272
15545	0.0704334645669291	0.0315142772108844
15548	0.00821161417322835	0.00331114795918367
15554	0.0572956692913386	0.0263097108843537
15575	0.0621468503937008	0.0314410884353741
157C	0.0506523622047244	0.0236998384353742
159C	0.0596889763779528	0.0271531292517007
161C	0.0199667322834646	0.00922160714285714
162C	0.032775	0.0146885884353742
164C	0.0332248031496063	0.0163407482993197
169C	0.0542454724409449	0.0229202806122449
170C	0.0200907480314961	0.00831424319727891
1C	0.0273212598425197	0.0116110289115646
21C	0.062203937007874	0.0282454931972789
23	0.0644830708661417	0.030436156462585
25	0.076776968503937	0.0379733333333333
25C	0.0173643700787402	0.00743530612244898
29C	0.014519094488189	0.00849234693877551
36C	0.0625687007874016	0.0279168452380952
38C	0.0132385826771654	0.00565514455782313
51C	0.0347568897637795	0.0188529081632653
551432	0.00337716535433071	0.00218826530612245
56C	0.0682635826771654	0.0306682142857143
59C	0.0544206692913386	0.0250459353741497
69C	0.0711722440944882	0.0318348299319728
6C	0.067521062992126	0.0304108758503401
76C	0.0298850393700787	0.0135003741496599
80C	0.0642346456692913	0.0293791836734694
90C	0.0608830708661417	0.0275658673469388
93C	0.0346826771653543	0.0200741921768707
96C	0.0357027559055118	0.0157695323129252
BWT20	0.00760944881889764	0.00492691326530612
CLT1	0.00165610236220472	0.00107104591836735
HS09	0.0178793307086614	0.00779908163265306
HS10	0.00878937007874016	0.00368846088435374
HS8	0.0218198818897638	0.0126063350340136
