SAMPLE ID	FS	PFS
102C	0.0117688976377953	0.00663926020408163
103C	0.00818503937007874	0.00496107142857143
106C	0.0180281496062992	0.0106592006802721
109C	0.0351188976377953	0.0166513945578231
112C	6.27952755905512e-05	4.06887755102041e-05
113C	0.00426437007874016	0.00261477040816327
117C	0.00847814960629921	0.00492313775510204
121C	0.00319448818897638	0.00206989795918367
122C	0.0111785433070866	0.00689788265306122
127C	0.0252566929133858	0.0124813350340136
128C	0.0233005905511811	0.0133019642857143
12C	0.00768287401574803	0.0043440306122449
13	0.0340844488188976	0.0197734268707483
130C	0.0183356299212598	0.0110047959183673
131C	0.00908996062992126	0.00535538265306122
133C	0.00299251968503937	0.00183144557823129
136C	0.00274625984251969	0.00165369897959184
139C	0.00944114173228346	0.00601615646258503
141C	0.00793562992125984	0.00514196428571429
142C	0.0145612204724409	0.00900416666666667
143C	0.0237553149606299	0.0139627295918367
147C	0.00882992125984252	0.00552993197278911
148C	0.0150377952755906	0.00842850340136054
150C	0.030351968503937	0.0196045068027211
15514	0.0110114173228346	0.00713494897959184
15518	0.00655964566929134	0.00324137755102041
15529	0.0146318897637795	0.00842882653061225
15530	0.0109179133858268	0.00649251700680272
15545	0.0166435039370079	0.00952980442176871
15548	0.015565157480315	0.00893372448979592
15554	0.0525137795275591	0.0252591071428571
15575	0.0128856299212598	0.00714397959183673
157C	0.0240620078740157	0.0135614200680272
159C	0.0167409448818898	0.0106147448979592
161C	0.00544212598425197	0.00352627551020408
162C	0.0157805118110236	0.0088394387755102
164C	0.00985314960629921	0.0062703231292517
169C	0.0225917322834646	0.0120246258503401
170C	0.0219332677165354	0.0115952721088435
1C	0.0184409448818898	0.0101807568027211
21C	0.0442389763779528	0.0211500170068027
23	0.00803051181102362	0.00520344387755102
25	0.0339283464566929	0.0195164285714286
25C	0.0371655511811024	0.0176833673469388
29C	0.0139734251968504	0.00867253401360544
36C	0.0365379921259842	0.019144268707483
38C	0.00901909448818898	0.00584400510204082
51C	0.00963996062992126	0.00588448129251701
56C	0.0153261811023622	0.00864913265306123
59C	0.0359377952755906	0.0182959268707483
69C	0.00951574803149606	0.00589081632653061
6C	0.0115183070866142	0.00596274659863946
76C	0.0101175196850394	0.00655573979591837
80C	0.00921338582677165	0.00574438775510204
90C	0.0418728346456693	0.0204820918367347
93C	0.00399035433070866	0.00230335884353741
96C	0.00182992125984252	0.00118571428571429
BWT20	0.00719311023622047	0.00466084183673469
CLT1	0.00824271653543307	0.00526130952380952
HS09	0.00381259842519685	0.0022952806122449
HS10	0.012292125984252	0.00719236394557823
HS8	0.000160826771653543	0.000104166666666667
