"SAMPLE_ID","CD4_S1 IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_S1 !IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 !IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 !IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&!IL4/5/13&IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 !IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 !IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_NCAP IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_NCAP IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_NCAP IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_NCAP !IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_NCAP !IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a"
"15545"," 0.1366534830542961986843","0.1163330707937722530154"," 0.07655521909493295806826"," 0.01249318534704023375692","0.01056661437547245022128"," 0.01730961277595969433074"," 0.03738955855936405142659","0.00000000000000000000000"," 0.00000000000000000000000"," 0.50618307626877390159592","0.2970274577416343042557"," 3.5905771666356181560e-02","0.0202408663090780302496","2.5400254646015513194e-01"," 0.11163156384592276548773","0.10843868427115946340145"," 3.1450613469459896832e-02"," 1.4410629768503907533e-02"
"170C"," 0.1649037885059895791606","0.2062699734984258514991"," 0.01747022647973804285182"," 0.02530115136244603241122","0.02633681271892475764251"," 0.00059741802541975078198"," 0.01580208763135485319773","0.00087789375729749178408"," 0.00000000000000000000000"," 0.12763545073184046074743","0.1831255086113439123352"," 4.0385202594120459679e-03","0.0172819023918152903097","1.0986746566435456884e-01"," 0.02989558080411390539322","0.06613615195500344157153"," 8.5883563225711626044e-03"," 9.9459352910910934359e-03"
"112C"," 0.0336945516299847688813","0.0224390819064435101393"," 0.02242881654349508299684"," 0.00788088187906856897647","0.00560720413587377074921","-0.00662599133356422693303"," 0.00561233681734798518781","0.00000000000000000000000"," 0.00000000000000000000000"," 0.01535659045676779008160","0.0242870556223721036082","-2.9093243150927813184e-03","0.0000000000000000000000","2.1920694014438409786e-02"," 0.01347857519206969653669","0.02840050914512096125186","-1.6199537826706376931e-02","-4.2471988392814722171e-03"
"141C","-0.0014976708313791204860","0.0068972312543107688193","-0.00086707708315269225747","-0.00074883541568956024301","0.00098531875061582427193","-0.00137942916391598879682"," 0.00295595625184747259895","0.00000000000000000000000"," 0.00000000000000000000000"," 0.00060473490953165160051","0.0027153621614282807094"," 9.8120799512289597760e-04","0.0000000000000000000000","1.1130546373723049312e-06","-0.00086707708315269225747","0.00086735534681203535403"," 1.3913182967158893837e-06","-1.7341541663053845149e-03"
"21C"," 0.0078037318036934429089","0.0103250133442684948609","-0.00252128154057505368679","-0.00552982814983422540922","0.00085365020829065085470","-0.02443475801367990529744"," 0.00256095062487195256409","0.00000000000000000000000"," 0.00000000000000000000000"," 0.01816091128949096772383","0.0149019512945532048298","-6.0323682261205599682e-04","0.0052247968860210563039","1.0823314277114014573e-02"," 0.00114760858822251284733","0.01449792648230756320071","-2.7495176065764927870e-02","-5.9294020916046841913e-03"
"56C"," 0.0607780127491193630784","0.0393097888305931897346"," 0.02516851753030329569283"," 0.01927927225119395460151","0.02121190695043484453208"," 0.01186983173960535695168"," 0.00530297673760871113302","0.00000000000000000000000"," 0.00000000000000000000000"," 0.02890432363231893245215","0.0217634439566533020860"," 7.8397579527470786457e-04","0.0154065400762623747055","4.4986350378281678153e-02"," 0.00263886193014730438891","0.02123659300695593388220"," 3.9313577025543505403e-03"," 7.8268018148865570877e-03"
"148C"," 0.0723007921119001306653","0.1368898873919514036501"," 0.00771169683184884467014"," 0.00850169910527378940024","0.00839922727109105975163"," 0.01131136566231644158265"," 0.00839922727109105975163","0.00000000000000000000000"," 0.00000000000000000000000"," 0.05730003630322503399563","0.0973650528746365651056"," 1.1525975897181954533e-02","0.0126233936731550890759","4.1312350336700928710e-02"," 0.01211999151406340131942","0.04585479660783774863431"," 5.0771593564917713581e-03"," 7.1192197411937691021e-03"
"90C"," 0.0341408991034310993484","0.0372710281296811246632"," 0.01012335235482231948767","-0.00194095526417991954410","0.00713504257242068232886"," 0.00165731677648312480076"," 0.00733836332517448508561","0.00000000000000000000000"," 0.00000000000000000000000","-0.00332727805214684622254","0.0715048794428003314794"," 2.7724097673984047889e-04","0.0310234471948272506892","1.6953816992669915042e-02"," 0.00374552774350932378422","0.03712963348154053877526","-3.7473119732409679826e-03","-6.6556174495855432299e-05"
"162C"," 0.0490361812792599188748","0.0389257119864816550359"," 0.00887015921525890170540"," 0.00963436970939740740250","0.00248062015503875982897","-0.00458526296483103331519"," 0.00868217054263565810035","0.00000000000000000000000"," 0.00000000000000000000000"," 0.02175033857461642489151","0.0330637629847302869091"," 5.2371737074967473005e-03","0.0022551982319245862316","3.5619215508280892279e-02"," 0.00788527838201472444646","0.02162719120760802152259"," 7.6282288724852567036e-03"," 7.6316978897102054694e-03"
"169C"," 0.0552756232541697853367","0.1002925198495612235661"," 0.01533067102007687129706"," 0.00326115749698321129996","0.00975066165204067393513"," 0.00326936020671045237534"," 0.01671541997492687059435","0.00000000000000000000000"," 0.00000000000000000000000"," 0.02034304611826340952740","0.0475718533201189286430"," 4.2250413941168369486e-03","0.0079286422200198214405","3.1611150428275835989e-02"," 0.01202236396267275693461","0.04978203541251816077740"," 4.2823818871061377148e-03"," 3.0237012568697400547e-03"
